id,icao_code,name,latitude,longitude
2029,CZMN,Pikwitonei Airport,55.58890152,-97.16419983
2030,CZMT,Masset Airport,54.0275,-132.125
2034,CZPC,Pincher Creek Airport,49.520429,-113.997002
2037,CZSJ,Sandy Lake Airport,53.06420135,-93.3443985
2039,CZST,Stewart Airport,55.93541045,-129.9824345
2042,CZUC,Ignace Municipal Airport,49.428204,-91.720418
2047,DAAB,Blida Airport,36.503601,2.81417
2048,DAAD,Bou Saada Airport,35.3325,4.20639
2049,DAAE,Soummam–Abane Ramdane Airport,36.711952,5.069804
2050,DAAG,Houari Boumediene Airport,36.693886,3.214531
2051,DAAJ,Djanet Inedbirene Airport,24.292801,9.45244
2052,DAAK,Boufarik Air Base,36.545799,2.87611
2054,DAAP,Illizi Takhamalt Airport,26.723499,8.62265
32193,DAAS,Ain Arnat Airport,36.17810059,5.32449007
2056,DAAT,Aguenar – Hadj Bey Akhamok Airport,22.811501,5.45108
2057,DAAV,Jijel Ferhat Abbas Airport,36.795101,5.87361
2058,DAAY,Mecheria Airport,33.53590012,-0.242353007
2059,DAAZ,Relizane Airport,35.752955,0.625877
2060,DABB,Annaba Rabah Bitat Airport,36.826781,7.81334
2061,DABC,Mohamed Boudiaf International Airport,36.27600098,6.620389938
2062,DABS,Cheikh Larbi Tébessi Airport,35.43159866,8.12071991
2063,DABT,Batna Mostefa Ben Boulaid Airport,35.752102,6.30859
2064,DAFH,Hassi R'Mel Airport,32.930401,3.31154
2065,DAOB,Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315
2067,DAOF,Tindouf Airport,27.7003994,-8.167099953
2068,DAOI,Chlef Aboubakr Belkaid International Airport,36.217166,1.342237
2069,DAOL,Oran Tafraoui Airport,35.5424,-0.532278
2070,DAON,Zenata – Messali El Hadj Airport,35.013426,-1.457191
2071,DAOO,Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.623901,-0.621183
2072,DAOR,Béchar Boudghene Ben Ali Lotfi Airport,31.64570045,-2.269860029
2074,DAOV,Ghriss Airport,35.207699,0.147142
2075,DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414
2076,DAUB,Biskra - Mohamed Khider Airport,34.793301,5.73823
2077,DAUE,El Golea Airport,30.580732,2.861595
2078,DAUG,Noumérat - Moufdi Zakaria Airport,32.384102,3.79411
2079,DAUH,Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044
2080,DAUI,In Salah Airport,27.250999,2.51202
2081,DAUK,Touggourt Sidi Madhi Airport,33.067799,6.08867
2082,DAUL,Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834
2083,DAUO,Guemar Airport - مطار قمار بالوادي,33.511398,6.77679
2084,DAUT,Timimoun Airport,29.237101,0.276033
2085,DAUU,Ain Beida Airport,31.9172,5.41278
2086,DAUZ,Zarzaitine - In Aménas Airport,28.0515,9.64291
2087,DBBB,Cadjehoun Airport,6.357230186,2.384350061
2088,DFFD,Ouagadougou Airport,12.3532,-1.51242
2089,DFOO,Bobo Dioulasso Airport,11.16009998,-4.33096981
2090,DGAA,Kotoka International Airport,5.6051898,-0.166786
354173,DGAH,Ho Airport,6.579691,0.532547
2091,DGLE,Tamale Airport,9.557189941,-0.863214016
2093,DGSI,Kumasi Airport,6.714560032,-1.590819955
2094,DGSN,Sunyani Airport,7.36183,-2.32876
2095,DGTK,Takoradi Airport,4.89605999,-1.774760008
2096,DIAP,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629
2097,DIBK,Bouaké Airport,7.7388,-5.07367
2098,DIDL,Daloa Airport,6.79281,-6.47319
2099,DIKO,Korhogo Airport,9.38718,-5.55666
2100,DIMN,Man Airport,7.27207,-7.58736
2101,DISP,San Pedro Airport,4.74672,-6.66082
2102,DIYO,Yamoussoukro Airport,6.903170109,-5.365580082
2104,DNAA,Nnamdi Azikiwe International Airport,9.00679,7.26317
309668,DNAI,Akwa Ibom International Airport,4.8725,8.093
2105,DNAK,Akure Airport,7.246739864,5.301010132
300781,DNAS,Asaba International Airport,6.204167,6.665278
323056,DNBC,Sir Abubakar Tafawa Balewa International Airport,10.482833,9.744
2106,DNBE,Benin Airport,6.316979885,5.599500179
340295,DNBY,Bayelsa International Airport,4.95759,6.203327
2107,DNCA,Margaret Ekpo International Airport,4.976019859,8.347200394
2108,DNEN,Akanu Ibiam International Airport,6.474269867,7.56196022
44578,DNGO,Gombe Lawanti International Airport,10.298889,10.9
2109,DNGU,Gusau Airport,12.17286,6.696136
2110,DNIB,Ibadan Airport,7.362460136,3.978329897
2111,DNIL,Ilorin International Airport,8.440210342,4.493919849
2112,DNIM,Sam Mbakwe International Airport,5.427060127,7.206029892
2113,DNJO,Yakubu Gowon Airport,9.639829636,8.869050026
2114,DNKA,Kaduna Airport,10.6960001,7.320109844
2115,DNKN,Mallam Aminu International Airport,12.0476,8.52462
2116,DNMA,Maiduguri International Airport,11.85529995,13.08090019
2117,DNMK,Makurdi Airport,7.70388,8.61394
2118,DNMM,Murtala Muhammed International Airport,6.57737,3.32116
2119,DNMN,Minna Airport,9.652170181,6.462259769
2120,DNPO,Port Harcourt International Airport,5.015490055,6.949590206
2121,DNSO,Sadiq Abubakar III International Airport,12.91629982,5.207190037
32192,DNSU,Warri Airport,5.59821,5.8187
2122,DNYO,Yola Airport,9.25755024,12.43039989
2123,DNZA,Zaria Airport,11.1302,7.68581
2124,DRRM,Maradi Airport,13.5025,7.12675
2125,DRRN,Diori Hamani International Airport,13.4815,2.18361
2126,DRRT,Tahoua Airport,14.8757,5.26536
2127,DRZA,Mano Dayak International Airport,16.9659996,8.000109673
2130,DRZR,Zinder Airport,13.77900028,8.98375988
2131,DTKA,Tabarka-Aïn Draham International Airport,36.98,8.87694
2132,DTMB,Monastir Habib Bourguiba International Airport,35.7580986,10.75469971
44483,DTNH,Enfidha - Hammamet International Airport,36.075833,10.438611
2133,DTTA,Tunis Carthage International Airport,36.851002,10.2272
2134,DTTB,Bizerte Sidi Ahmed Air Base,37.242356,9.787016
2135,DTTD,Remada Air Base,32.306198,10.3821
2136,DTTF,Gafsa Ksar International Airport,34.42200089,8.822500229
2137,DTTG,Gabès Matmata International Airport,33.733691,9.91941
2139,DTTJ,Djerba Zarzis International Airport,33.875,10.7755
2140,DTTR,El Borma Airport,31.7043,9.25462
2141,DTTX,Sfax Thyna International Airport,34.7179985,10.69099998
2142,DTTZ,Tozeur Nefta International Airport,33.93970108,8.110560417
2143,DXNG,Niamtougou International Airport,9.76733017,1.091249943
2144,DXXX,Lomé–Tokoin International Airport,6.16561,1.25451
2152,EBAW,Antwerp International Airport (Deurne),51.190667,4.463153
2153,EBBE,Beauvechain Air Base,50.758598,4.76833
2154,EBBL,Kleine Brogel Air Base,51.168301,5.47
2155,EBBR,Brussels Airport,50.901402,4.48444
2157,EBCI,Brussels South Charleroi Airport,50.460982,4.457158
2158,EBCV,Chièvres Air Base,50.57580185,3.83100009
2159,EBFN,Koksijde Air Base,51.090302,2.65278
2160,EBFS,Florennes Air Base,50.24330139,4.645830154
2161,EBKT,Flanders International Airport Kortrijk-Wevelgem,50.818878,3.209551
2162,EBLG,Liège Airport,50.638574,5.443897
2163,EBOS,Oostende-Brugge International Airport,51.1998,2.874673
2184,EDAC,Leipzig–Altenburg Airport,50.981945,12.506389
2187,EDAH,Heringsdorf Airport,53.8787,14.1523
2743,EDBN,Neubrandenburg Trollenhagen Airport,53.6022,13.306
2200,EDBR,Rothenburg/Görlitz Airfield,51.363335,14.95
301881,EDDB,Berlin Brandenburg Airport,52.362247,13.500672
2210,EDDC,Dresden Airport,51.134123,13.767831
2211,EDDE,Erfurt-Weimar Airport,50.979801,10.9581
2212,EDDF,Frankfurt Airport,50.030241,8.561096
2213,EDDG,Münster Osnabrück Airport,52.134602,7.68483
2214,EDDH,Hamburg Helmut Schmidt Airport,53.630402,9.98823
2216,EDDK,Cologne Bonn Airport,50.865898,7.14274
2217,EDDL,Düsseldorf Airport,51.289501,6.76678
2218,EDDM,Munich Airport,48.353802,11.7861
2219,EDDN,Nuremberg Airport,49.498699,11.078056
2220,EDDP,Leipzig/Halle Airport,51.420657,12.232705
2221,EDDR,Saarbrücken Airport,49.21459961,7.109509945
2222,EDDS,Stuttgart Airport,48.689899,9.22196
2224,EDDV,Hannover Airport,52.461102,9.68508
2225,EDDW,Bremen Airport,53.046786,8.78932
2226,EDFE,Frankfurt-Egelsbach Airport,49.96,8.643043
2227,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389
2228,EDFM,Mannheim-City Airport,49.473057,8.514167
2231,EDFZ,Mainz-Finthen Airfield,49.967499,8.147222
2232,EDGE,Eisenach-Kindel Airport,50.991604,10.47973
